Payment Date,Amount,Organisational Unit,Beneficiary Name,Company Number,Charity Number
2015-09-25,2860.00,Children and Young People,LIZ GODMAN EDUCATION CONSULTANCY LTD,,
2015-07-13,528.00,Children and Young People,MARTIN SHEVILL CONSULTANCY LTD,,
2015-08-21,526.00,Property & Asset Management,DIRECT FABRICATIONS (YORKSHIRE) LTD,,
2015-08-11,1155.00,Property & Asset Management,DIRECT FABRICATIONS (YORKSHIRE) LTD,,
2015-07-30,1419.60,Property & Asset Management,DIRECT FABRICATIONS (YORKSHIRE) LTD,,
2015-07-03,1480.20,Property & Asset Management,DIRECT FABRICATIONS (YORKSHIRE) LTD,,
2015-09-10,535.00,Adult Services,POLLOCK LIFTS,,
2015-08-25,565.00,Adult Services,POLLOCK LIFTS,,
2015-09-08,620.00,Adult Services,POLLOCK LIFTS,,
2015-09-11,625.00,Adult Services,POLLOCK LIFTS,,
2015-08-28,625.00,Adult Services,POLLOCK LIFTS,,
2015-08-28,625.00,Adult Services,POLLOCK LIFTS,,
2015-09-01,625.00,Adult Services,POLLOCK LIFTS,,
2015-09-30,632.17,Adult Services,POLLOCK LIFTS,,
2015-08-28,650.00,Adult Services,POLLOCK LIFTS,,
2015-09-15,700.00,Adult Services,POLLOCK LIFTS,,
2015-09-10,785.00,Adult Services,POLLOCK LIFTS,,
2015-08-28,800.00,Adult Services,POLLOCK LIFTS,,
2015-08-17,811.50,Adult Services,POLLOCK LIFTS,,
2015-09-01,1095.00,Adult Services,POLLOCK LIFTS,,
2015-08-28,1130.00,Adult Services,POLLOCK LIFTS,,
2015-08-28,1525.00,Adult Services,POLLOCK LIFTS,,
2015-07-16,2964.77,Adult Services,POLLOCK LIFTS,,
2015-07-17,5788.00,Adult Services,POLLOCK LIFTS,,
2015-09-15,535.00,Property & Asset Management,C MITCHELL & SONS,,
2015-08-13,670.00,Property & Asset Management,C MITCHELL & SONS,,
2015-09-14,730.00,Property & Asset Management,C MITCHELL & SONS,,
2015-07-31,1200.00,Property & Asset Management,C MITCHELL & SONS,,
2015-08-27,529.60,Property & Asset Management,PLUMBCARE YORKSHIRE LTD,,
2015-08-07,535.00,Adult Services,HANDICARE ACCESSIBILITY LTD,,
2015-07-02,550.00,Adult Services,HANDICARE ACCESSIBILITY LTD,,
2015-07-02,595.00,Adult Services,HANDICARE ACCESSIBILITY LTD,,
2015-08-13,620.00,Adult Services,HANDICARE ACCESSIBILITY LTD,,
2015-07-03,638.20,Adult Services,HANDICARE ACCESSIBILITY LTD,,
2015-08-26,663.00,Adult Services,HANDICARE ACCESSIBILITY LTD,,
2015-09-11,700.50,Adult Services,HANDICARE ACCESSIBILITY LTD,,
2015-07-28,705.00,Adult Services,HANDICARE ACCESSIBILITY LTD,,
2015-09-09,713.00,Adult Services,HANDICARE ACCESSIBILITY LTD,,
2015-09-23,745.00,Adult Services,HANDICARE ACCESSIBILITY LTD,,
2015-07-07,780.00,Adult Services,HANDICARE ACCESSIBILITY LTD,,
2015-07-13,805.00,Adult Services,HANDICARE ACCESSIBILITY LTD,,
2015-08-10,822.50,Adult Services,HANDICARE ACCESSIBILITY LTD,,
2015-09-23,835.00,Adult Services,HANDICARE ACCESSIBILITY LTD,,
2015-07-20,865.00,Adult Services,HANDICARE ACCESSIBILITY LTD,,
2015-08-06,870.00,Adult Services,HANDICARE ACCESSIBILITY LTD,,
2015-08-03,950.00,Adult Services,HANDICARE ACCESSIBILITY LTD,,
