Body Name,Expenditure Category,Capital/ Revenue,Service Label,Service Code,Expenditure Code,Payment Date,Supplier Name,Transaction No.,Net Amount,Narrative
Harrogate Borough Council,Transport,R,Community,Arboriculture,Fuel/Oil,11/07/2018,ALLSTAR BUSINESS SOLUTIONS LTD,4701522,26.82,AS60046921
Harrogate Borough Council,Premises,R,Community,Arboriculture,Payments to Ext Contractors,04/07/2018,ASHTEAD PLANT HIRE CO LTD,4700568,910.00,
Harrogate Borough Council,Premises,R,Community,Arboriculture,Payments to Ext Contractors,23/07/2018,STEEL AND MAW TREE EXPERTS,4702830,"3,250.00",
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Payments to Ext Contractors,30/07/2018,A A FOSTER,4701990,615.00,
Harrogate Borough Council,Transport,R,Community,Bereavement Services,Fuel/Oil,30/07/2018,ALLSTAR BUSINESS SOLUTIONS LTD,4702899,20.23,AS60046921
Harrogate Borough Council,Transport,R,Community,Bereavement Services,Fuel/Oil,11/07/2018,ALLSTAR BUSINESS SOLUTIONS LTD,4701522,36.13,AS60046921
Harrogate Borough Council,Transport,R,Community,Bereavement Services,Fuel/Oil,04/07/2018,ALLSTAR BUSINESS SOLUTIONS LTD,4701102,34.75,AS60046921
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Protective Clothing,18/07/2018,BERENDSEN UK LTD,4701521,265.32,HARROGATE BC CEMETERY
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Refuse Collection/Removal,25/07/2018,BIFFA WASTE SERVICES LTD,4702008,258.20,STONEFALL CEMETERY
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,09/07/2018,DR CHRISTIAN LACHMANN,4702057,647.50,PQ  Dr C Lachmann June 2018 monthly payment
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,09/07/2018,DR R SPENCER,4702059,462.50,PQ  Dr R Spencer June 201 8 monthly payment
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,09/07/2018,DR VIVIENNE JAYNE POSKITT,4702058,666.00,PQ  Dr V Poskitt June 201 8 monthly payment
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Plaques,25/07/2018,FALON NAMEPLATES LTD,4701722,828.40,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Plaques,25/07/2018,FALON NAMEPLATES LTD,4701722,18.00,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Equipment,09/07/2018,HARROGATE TIMBER LTD,4701891,359.40,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Other Consultants Fees,30/07/2018,NPS LEEDS LTD,4701813,"5,996.25",
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Hire of Equipment,30/07/2018,PMC HIRE & SALES CENTRE,4702996,70.00,HIRE OF CAMON
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Plaques,30/07/2018,STEPHENSONS MEMORIAL WORKS,4702794,230.00,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Equipment,04/07/2018,TELESHORE UK LTD,4699900,262.00,Stonefall Cemetery
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Refuse Collection/Removal,30/07/2018,WETHERBY SKIP HIRE SERVICES,4702716,400.00,
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Other Services,30/07/2018,BULLOUGHS CLEANING SERVICES LTD,4701593,309.40,Blossomgate Hostel Blossomgate
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Other Services,30/07/2018,BULLOUGHS CLEANING SERVICES LTD,4701594,653.57,Cavendish House 23 Robert Street
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Other Services,30/07/2018,BULLOUGHS CLEANING SERVICES LTD,4701595,790.97,Avondale House The Avondale Hostel
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,16/07/2018,CORDANT PEOPLE LIMITED,4702070,215.43,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,18/07/2018,CORDANT PEOPLE LIMITED,4702521,216.66,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,18/07/2018,CORDANT PEOPLE LIMITED,4702524,227.74,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Building Cleaning Operations,Temporary Staff,25/07/2018,CORDANT PEOPLE LIMITED,4702988,240.05,REDACTED - PERSONAL DATA
Harrogate Borough Council,Transport,R,Community,Building Cleaning Operations,Hire of Vehicles/Plant,25/07/2018,NORTHGATE VEHICLE HIRE LTD,4701503,222.60,
Harrogate Borough Council,Transport,R,Community,Building Cleaning Operations,Hire of Vehicles/Plant,25/07/2018,NORTHGATE VEHICLE HIRE LTD,4701513,222.60,IHMT
Harrogate Borough Council,Transport,R,Community,Building Cleaning Operations,Hire of Vehicles/Plant,25/07/2018,NORTHGATE VEHICLE HIRE LTD,4701505,241.50,IHMT
Harrogate Borough Council,Transport,R,Community,Building Cleaning Operations,Hire of Vehicles/Plant,25/07/2018,NORTHGATE VEHICLE HIRE LTD,4701514,241.50,IHMT
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Cleaning Materials,18/07/2018,PROFESSIONAL PAPER SUPPLIES LTD,4700687,344.40,Claro Road
Harrogate Borough Council,Supplies and Services,R,Community,Building Cleaning Operations,Cleaning Materials,11/07/2018,PROFESSIONAL PAPER SUPPLIES LTD,4700369,499.00,Claro Road
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Equipment,18/07/2018,CLAAS EASTERN LTD,4702482,32.25,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Equipment,18/07/2018,CLAAS EASTERN LTD,4702482,290.25,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,18/07/2018,EDEN FARM LTD,4700943,261.32,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,11/07/2018,EDEN FARM LTD,4700673,316.96,Valley Gardens
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,11/07/2018,EDEN FARM LTD,4700638,330.77,Valley Gardens
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,11/07/2018,EDEN FARM LTD,4700276,335.99,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,04/07/2018,EDEN FARM LTD,4700275,562.98,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,25/07/2018,EDEN FARM LTD,4701623,569.70,Valley Gardens
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,25/07/2018,EDEN FARM LTD,4701426,735.46,
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,25/07/2018,EDEN FARM LTD,4701624,862.38,Valley Gardens
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Miscellaneous Expenditure,11/07/2018,LOGIC STREET & PARK FURNITURE LTD,4700581,"6,900.00",
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,18/07/2018,P P SNACK FOODS LTD,4701926,225.21,THE VALLEY GDN GAMES
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,18/07/2018,P P SNACK FOODS LTD,4701926,-11.98,THE VALLEY GDN GAMES
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,18/07/2018,P P SNACK FOODS LTD,4701926,11.98,THE VALLEY GDN GAMES
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,04/07/2018,P P SNACK FOODS LTD,4700385,-33.96,VALLEY GARDENS
Harrogate Borough Council,Supplies and Services,R,Community,Business Development,Catering - Vending Purchases,04/07/2018,P P SNACK FOODS LTD,4700385,33.96,VALLEY GARDENS
