Body Name,Expenditure Category,Captial/ Revenue,Service Label,Service Code,Expenditure Code,Payment date,Supplier Name,Transaction No.,Net Amount,Narrative
Harrogate Borough Council,Transport,R,Community,Arboriculture,Fuel/Oil,04/10/2017,ALLSTAR BUSINESS SOLUTIONS LTD,4684201,21.18,AS60046921
Harrogate Borough Council,Premises,R,Community,Arboriculture,Payments to Ext Contractors,04/10/2017,TRINOVA SYSTEMS LIMITED,4684317,"2,500.00",
Harrogate Borough Council,Transport,R,Community,Bereavement Services,Fuel/Oil,04/10/2017,ALLSTAR BUSINESS SOLUTIONS LTD,4684201,53.64,AS60046921
Harrogate Borough Council,Transport,R,Community,Bereavement Services,Fuel/Oil,25/10/2017,ALLSTAR BUSINESS SOLUTIONS LTD,4684999,45.26,AS60046921
Harrogate Borough Council,Transport,R,Community,Bereavement Services,Fuel/Oil,02/10/2017,ALLSTAR BUSINESS SOLUTIONS LTD,4683934,22.5,AS60046921
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Protective Clothing,18/10/2017,BERENDSEN UK LTD,4684233,256.93,STONEFALL CEMETERY
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Protective Clothing,18/10/2017,BERENDSEN UK LTD,4684231,773.08,HARROGATE BC COMMUNITY SERVICES
Harrogate Borough Council,Employees,R,Community,Bereavement Services,Temporary Staff,25/10/2017,BROOK STREET (UK) LTD,4685326,500.65,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Bereavement Services,Temporary Staff,18/10/2017,BROOK STREET (UK) LTD,4684779,605.62,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Bereavement Services,Temporary Staff,11/10/2017,BROOK STREET (UK) LTD,4684414,549.1,REDACTED - PERSONAL DATA
Harrogate Borough Council,Employees,R,Community,Bereavement Services,Temporary Staff,04/10/2017,BROOK STREET (UK) LTD,4684069,605.62,REDACTED - PERSONAL DATA
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,04/10/2017,DR CHRISTIAN LACHMANN,4684321,684.5,Dr C Lachmann September 201 7 monthly payment
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,04/10/2017,DR R SPENCER,4684319,592,Dr R Spencer September 201 7 monthly payment
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,04/10/2017,DR VIVIENNE JAYNE POSKITT,4684320,684.5,Dr V Poskitt September 201 7 monthly payment
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Plaques,18/10/2017,FALON NAMEPLATES LTD,4683986,593.45,Cast Bronze
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,18/10/2017,REDACTED - PERSONAL DATA,4684903,964,Reimbursement of PrePurchased Grave
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Medical Referees Fees,25/10/2017,REDACTED - PERSONAL DATA,4685520,964,Reissue trans 4684903
Harrogate Borough Council,Transport,R,Community,Bereavement Services,Fuel/Oil,04/10/2017,RIX PETROLEUM (HULL) LIMITED,4682792,504.8,
Harrogate Borough Council,Supplies and Services,R,Community,Bereavement Services,Other Supplies & Services,18/10/2017,TELESHORE UK LTD,4683645,"1,945.00",
Harrogate Borough Council,Premises,R,Community,Bereavement Services,Refuse Collection/Removal,02/10/2017,WETHERBY SKIP HIRE SERVICES,4683136,200,various
